"Code","Class","SourceStatus","DescriptionPreferred","DescriptionBase","DescriptionApp"
"B1837","B","base-only","Door Unlock Disarm Выход Цепь Короткое замыкание на массу","Door Unlock Disarm Выход Цепь Короткое замыкание на массу",
"B1838","B","base-only","Батарея Saver Power Relay Цепь Failure","Батарея Saver Power Relay Цепь Failure",
"B1839","B","base-only","Wiper Rear Motor Цепь Failure","Wiper Rear Motor Цепь Failure",
"B1840","B","base-only","Wiper Front Power Цепь Failure","Wiper Front Power Цепь Failure",
"B1841","B","base-only","Wiper Front Power Цепь Обрыв","Wiper Front Power Цепь Обрыв",
"B1842","B","base-only","Wiper Front Power Цепь Короткое замыкание на батарею","Wiper Front Power Цепь Короткое замыкание на батарею",
"B1843","B","base-only","Wiper Front Power Цепь Короткое замыкание на массу","Wiper Front Power Цепь Короткое замыкание на массу",
"B1844","B","base-only","Phone Handset Цепь Failure","Phone Handset Цепь Failure",
"B1845","B","base-only","Зажигание Tamper Цепь Failure","Зажигание Tamper Цепь Failure",
"B1846","B","base-only","Зажигание Tamper Цепь Обрыв","Зажигание Tamper Цепь Обрыв",
"B1847","B","base-only","Зажигание Tamper Цепь Короткое замыкание на батарею","Зажигание Tamper Цепь Короткое замыкание на батарею",
"B1848","B","base-only","Зажигание Tamper Цепь Короткое замыкание на массу","Зажигание Tamper Цепь Короткое замыкание на массу",
"B1849","B","base-only","Climate Управление Температура Differential Цепь Failure","Climate Управление Температура Differential Цепь Failure",
"B1850","B","base-only","Climate Управление Температура Differential Цепь Обрыв","Climate Управление Температура Differential Цепь Обрыв",
"B1851","B","base-only","Climate Управление Температура Differential Цепь Короткое замыкание на батарею","Climate Управление Температура Differential Цепь Короткое замыкание на батарею",
"B1852","B","base-only","Climate Управление Температура Differential Цепь Короткое замыкание на массу","Climate Управление Температура Differential Цепь Короткое замыкание на массу",
"B1853","B","base-only","Climate Управление Воздух Температура Internal Датчик Motor Цепь Failure","Climate Управление Воздух Температура Internal Датчик Motor Цепь Failure",
"B1854","B","base-only","Climate Управление Воздух Температура Internal Датчик Motor Цепь Обрыв","Climate Управление Воздух Температура Internal Датчик Motor Цепь Обрыв",
"B1855","B","base-only","Climate Управление Воздух Температура Internal Датчик Motor Цепь Короткое замыкание на батарею","Climate Управление Воздух Температура Internal Датчик Motor Цепь Короткое замыкание на батарею",
"B1856","B","base-only","Climate Управление Воздух Температура Internal Датчик Motor Цепь Короткое замыкание на массу","Climate Управление Воздух Температура Internal Датчик Motor Цепь Короткое замыкание на массу",
"B1857","B","base-only","Climate Управление On/Off Switch Цепь Failure","Climate Управление On/Off Switch Цепь Failure",
"B1858","B","base-only","Climate Управление A/C Давление Switch Цепь Failure","Climate Управление A/C Давление Switch Цепь Failure",
"B1859","B","base-only","Climate Управление A/C Давление Switch Цепь Обрыв","Climate Управление A/C Давление Switch Цепь Обрыв",
"B1860","B","base-only","Climate Управление A/C Давление Switch Цепь Короткое замыкание на батарею","Climate Управление A/C Давление Switch Цепь Короткое замыкание на батарею",
"B1861","B","base-only","Climate Управление A/C Давление Switch Цепь Короткое замыкание на массу","Climate Управление A/C Давление Switch Цепь Короткое замыкание на массу",
"B1862","B","base-only","Climate Управление A/C Lock Датчик Failure","Climate Управление A/C Lock Датчик Failure",
"B1863","B","base-only","Масса ECU Цепь Обрыв","Масса ECU Цепь Обрыв",
"B1864","B","base-only","Батарея Power Supply ECU Цепь Failure","Батарея Power Supply ECU Цепь Failure",
"B1865","B","base-only","Батарея Power Supply ECU Цепь Обрыв","Батарея Power Supply ECU Цепь Обрыв",
"B1866","B","base-only","Батарея Power Supply ECU Цепь Короткое замыкание на батарею","Батарея Power Supply ECU Цепь Короткое замыкание на батарею",
"B1867","B","base-only","Батарея Power Supply ECU Цепь Короткое замыкание на массу","Батарея Power Supply ECU Цепь Короткое замыкание на массу",
"B1868","B","base-only","Лампа Воздух Bag Warning Индикатор Цепь Failure","Лампа Воздух Bag Warning Индикатор Цепь Failure",
"B1869","B","base-only","Лампа Воздух Bag Warning Индикатор Цепь Обрыв","Лампа Воздух Bag Warning Индикатор Цепь Обрыв",
"B1870","B","base-only","Лампа Воздух Bag Warning Индикатор Цепь Короткое замыкание на батарею","Лампа Воздух Bag Warning Индикатор Цепь Короткое замыкание на батарею",
"B1871","B","base-only","Пассажир Воздух Bag Disable Модуль Fault","Пассажир Воздух Bag Disable Модуль Fault",
"B1872","B","base-only","Turn Сигнал / Hazard Power Feed Цепь Короткое замыкание на батарею","Turn Сигнал / Hazard Power Feed Цепь Короткое замыкание на батарею",
"B1873","B","base-only","Turn Сигнал / Hazard Power Feed Цепь Короткое замыкание на массу","Turn Сигнал / Hazard Power Feed Цепь Короткое замыкание на массу",
"B1874","B","base-only","Cellular Phone Handset Not Present","Cellular Phone Handset Not Present",
"B1875","B","base-only","Turn Сигнал / Hazard Switch Сигнал Цепь Failure","Turn Сигнал / Hazard Switch Сигнал Цепь Failure",
"B1876","B","base-only","Seatbelt Водитель Pretensioner Цепь Failure","Seatbelt Водитель Pretensioner Цепь Failure",
"B1877","B","base-only","Seatbelt Водитель Pretensioner Цепь Обрыв","Seatbelt Водитель Pretensioner Цепь Обрыв",
"B1878","B","base-only","Seatbelt Водитель Pretensioner Цепь Короткое замыкание на батарею","Seatbelt Водитель Pretensioner Цепь Короткое замыкание на батарею",
"B1879","B","base-only","Seatbelt Водитель Pretensioner Цепь Короткое замыкание на массу","Seatbelt Водитель Pretensioner Цепь Короткое замыкание на массу",
"B1880","B","base-only","Seatbelt Пассажир Pretensioner Цепь Failure","Seatbelt Пассажир Pretensioner Цепь Failure",
"B1881","B","base-only","Seatbelt Пассажир Pretensioner Цепь Обрыв","Seatbelt Пассажир Pretensioner Цепь Обрыв",
"B1882","B","base-only","Seatbelt Пассажир Pretensioner Цепь Короткое замыкание на батарею","Seatbelt Пассажир Pretensioner Цепь Короткое замыкание на батарею",
"B1883","B","base-only","Seatbelt Пассажир Pretensioner Цепь Короткое замыкание на массу","Seatbelt Пассажир Pretensioner Цепь Короткое замыкание на массу",
"B1884","B","base-only","PAD Warning Лампа Inoperative","PAD Warning Лампа Inoperative",
"B1885","B","base-only","Seatbelt Водитель Pretensioner Цепь Сопротивление Низкий on Squib","Seatbelt Водитель Pretensioner Цепь Сопротивление Низкий on Squib",
"B1886","B","base-only","Seatbelt Пассажир Pretensioner Цепь Сопротивление Низкий on Squib","Seatbelt Пассажир Pretensioner Цепь Сопротивление Низкий on Squib",
"B1887","B","base-only","Воздух Bag Водитель Цепь Сопротивление Низкий or Shorted Together","Воздух Bag Водитель Цепь Сопротивление Низкий or Shorted Together",
"B1888","B","base-only","Воздух Bag Пассажир Цепь Сопротивление Низкий or Shorted Together","Воздух Bag Пассажир Цепь Сопротивление Низкий or Shorted Together",
"B1889","B","base-only","Пассажир Airbag Disable Модуль Датчик Obstructed","Пассажир Airbag Disable Модуль Датчик Obstructed",
"B1890","B","base-only","PAD Warning Лампа Цепь Короткое замыкание на батарею","PAD Warning Лампа Цепь Короткое замыкание на батарею",
"B1891","B","base-only","Воздух Bag Tone Warning Индикатор Цепь Короткое замыкание на батарею","Воздух Bag Tone Warning Индикатор Цепь Короткое замыкание на батарею",
"B1892","B","base-only","Воздух Bag Tone Warning Индикатор Цепь Failure","Воздух Bag Tone Warning Индикатор Цепь Failure",
"B1893","B","base-only","GPS Antenna Обрыв Цепь","GPS Antenna Обрыв Цепь",
"B1894","B","base-only","Wiper Rear Motor Скорость Sense Цепь Failure","Wiper Rear Motor Скорость Sense Цепь Failure",
"B1895","B","base-only","Водитель's / Пассажир's Door Ajar Выход Цепь Failure","Водитель's / Пассажир's Door Ajar Выход Цепь Failure",
"B1896","B","base-only","Водитель's / Пассажир's Door Ajar Выход Цепь Короткое замыкание на батарею","Водитель's / Пассажир's Door Ajar Выход Цепь Короткое замыкание на батарею",
"B1897","B","base-only","Horn Switch Цепь Failure","Horn Switch Цепь Failure",
"B1898","B","base-only","Chime Вход #2 Цепь Короткое замыкание на массу","Chime Вход #2 Цепь Короткое замыкание на массу",
"B1899","B","base-only","Microphone Вход Сигнал Цепь Обрыв","Microphone Вход Сигнал Цепь Обрыв",
"B1900","B","base-only","Водитель Side Airbag Fault","Водитель Side Airbag Fault",
"B1901","B","base-only","Воздух Bag Crash Датчик #1 Feed/Return Цепь Короткое замыкание на массу","Воздух Bag Crash Датчик #1 Feed/Return Цепь Короткое замыкание на массу",
"B1902","B","base-only","Воздух Bag Crash Датчик #1 Масса Цепь Failure","Воздух Bag Crash Датчик #1 Масса Цепь Failure",
"B1903","B","base-only","Воздух Bag Crash Датчик #1 Масса Цепь Короткое замыкание на батарею","Воздух Bag Crash Датчик #1 Масса Цепь Короткое замыкание на батарею",
"B1904","B","base-only","Воздух Bag Crash Датчик #2 Feed/Return Цепь Failure","Воздух Bag Crash Датчик #2 Feed/Return Цепь Failure",
"B1905","B","base-only","Воздух Bag Crash Датчик #2 Feed/Return Цепь Короткое замыкание на батарею","Воздух Bag Crash Датчик #2 Feed/Return Цепь Короткое замыкание на батарею",
"B1906","B","base-only","Воздух Bag Crash Датчик #2 Feed/Return Цепь Короткое замыкание на массу","Воздух Bag Crash Датчик #2 Feed/Return Цепь Короткое замыкание на массу",
"B1907","B","base-only","Воздух Bag Crash Датчик #2 Масса Цепь Failure","Воздух Bag Crash Датчик #2 Масса Цепь Failure",
"B1908","B","base-only","Воздух Bag Crash Датчик #2 Масса Цепь Короткое замыкание на батарею","Воздух Bag Crash Датчик #2 Масса Цепь Короткое замыкание на батарею",
"B1909","B","base-only","Воздух Bag Crash Датчик #2 Масса Цепь Короткое замыкание на массу","Воздух Bag Crash Датчик #2 Масса Цепь Короткое замыкание на массу",
"B1910","B","base-only","Воздух Bag Diagnostic Монитор Масса Цепь Failure","Воздух Bag Diagnostic Монитор Масса Цепь Failure",
"B1911","B","base-only","Воздух Bag Diagnostic Монитор Масса Цепь Короткое замыкание на батарею","Воздух Bag Diagnostic Монитор Масса Цепь Короткое замыкание на батарею",
"B1912","B","base-only","Воздух Bag Diagnostic Монитор Масса Цепь Короткое замыкание на массу","Воздух Bag Diagnostic Монитор Масса Цепь Короткое замыкание на массу",
"B1913","B","base-only","Воздух Bag Водитель/Пассажир Цепь Короткое замыкание на массу","Воздух Bag Водитель/Пассажир Цепь Короткое замыкание на массу",
"B1914","B","base-only","Воздух Bag Crash Sensors #1 / #2 Цепь Короткое замыкание на массу","Воздух Bag Crash Sensors #1 / #2 Цепь Короткое замыкание на массу",
"B1915","B","base-only","Воздух Bag Водитель Цепь Failure","Воздух Bag Водитель Цепь Failure",
"B1916","B","base-only","Воздух Bag Водитель Цепь Короткое замыкание на батарею","Воздух Bag Водитель Цепь Короткое замыкание на батарею",
"B1917","B","base-only","Воздух Bag Memory Clear Цепь Failure","Воздух Bag Memory Clear Цепь Failure",
"B1918","B","base-only","Воздух Bag Memory Clear Цепь Обрыв","Воздух Bag Memory Clear Цепь Обрыв",
"B1919","B","base-only","Воздух Bag Memory Clear Цепь Короткое замыкание на батарею","Воздух Bag Memory Clear Цепь Короткое замыкание на батарею",
"B1920","B","base-only","Воздух Bag Пассажир Цепь Failure","Воздух Bag Пассажир Цепь Failure",
"B1921","B","base-only","Воздух Bag Diagnostic Монитор Масса Цепь Обрыв","Воздух Bag Diagnostic Монитор Масса Цепь Обрыв",
"B1922","B","base-only","Воздух Bag Safing Датчик Выход Цепь Короткое замыкание на батарею","Воздух Bag Safing Датчик Выход Цепь Короткое замыкание на батарею",
"B1923","B","base-only","Воздух Bag Memory Clear Цепь Короткое замыкание на массу","Воздух Bag Memory Clear Цепь Короткое замыкание на массу",
"B1924","B","base-only","Воздух Bag Internal Diagnostic Монитор Fault or Система Disarm Fault","Воздух Bag Internal Diagnostic Монитор Fault or Система Disarm Fault",
"B1925","B","base-only","Воздух Bag Пассажир Цепь Короткое замыкание на батарею","Воздух Bag Пассажир Цепь Короткое замыкание на батарею",
"B1926","B","base-only","Воздух Bag Пассажир Давление Switch Цепь Failure","Воздух Bag Пассажир Давление Switch Цепь Failure",
"B1927","B","base-only","Пассажир Side Airbag Fault","Пассажир Side Airbag Fault",
"B1928","B","base-only","Воздух Bag Safing Датчик Выход Цепь Failure","Воздух Bag Safing Датчик Выход Цепь Failure",
"B1929","B","base-only","Воздух Bag Safing Датчик Выход Цепь Обрыв","Воздух Bag Safing Датчик Выход Цепь Обрыв",
"B1930","B","base-only","Воздух Bag Safing Датчик Выход Цепь Короткое замыкание на массу","Воздух Bag Safing Датчик Выход Цепь Короткое замыкание на массу",
"B1931","B","base-only","Воздух Bag Crash Датчик #1 Feed/Return Цепь Failure","Воздух Bag Crash Датчик #1 Feed/Return Цепь Failure",
"B1932","B","base-only","Воздух Bag Водитель Цепь Обрыв","Воздух Bag Водитель Цепь Обрыв",
"B1933","B","base-only","Воздух Bag Пассажир Цепь Обрыв","Воздух Bag Пассажир Цепь Обрыв",
"B1934","B","base-only","Воздух Bag Водитель Inflator Цепь Сопротивление Низкий on Squib","Воздух Bag Водитель Inflator Цепь Сопротивление Низкий on Squib",
"B1935","B","base-only","Воздух Bag Пассажир Inflator Цепь Сопротивление Низкий on Squib","Воздух Bag Пассажир Inflator Цепь Сопротивление Низкий on Squib",
"B1936","B","base-only","Воздух Bag Водитель Цепь Короткое замыкание на массу","Воздух Bag Водитель Цепь Короткое замыкание на массу",
"B1937","B","base-only","Воздух Bag Пассажир Давление Switch Цепь Обрыв","Воздух Bag Пассажир Давление Switch Цепь Обрыв",
"B1938","B","base-only","Воздух Bag Пассажир Цепь Короткое замыкание на массу","Воздух Bag Пассажир Цепь Короткое замыкание на массу",
"B1939","B","base-only","Воздух Bag Пассажир Давление Switch Цепь Короткое замыкание на массу","Воздух Bag Пассажир Давление Switch Цепь Короткое замыкание на массу",
"B1941","B","base-only","Воздух Bag Crash Датчик #1 Feed/Return Цепь Обрыв","Воздух Bag Crash Датчик #1 Feed/Return Цепь Обрыв",
"B1942","B","base-only","Воздух Bag Crash Датчик #2 Feed/Return Цепь Обрыв","Воздух Bag Crash Датчик #2 Feed/Return Цепь Обрыв",
"B1943","B","base-only","Воздух Bag Crash Датчик #1 Масса Цепь Короткое замыкание на массу","Воздух Bag Crash Датчик #1 Масса Цепь Короткое замыкание на массу",
"B1944","B","base-only","Воздух Bag Crash Датчик #1 Масса Цепь Обрыв","Воздух Bag Crash Датчик #1 Масса Цепь Обрыв",
"B1945","B","base-only","Воздух Bag Crash Датчик #2 Масса Цепь Обрыв","Воздух Bag Crash Датчик #2 Масса Цепь Обрыв",
"B1946","B","base-only","Climate Управление A/C Post Evaporator Датчик Цепь Failure","Climate Управление A/C Post Evaporator Датчик Цепь Failure",
"B1947","B","base-only","Climate Управление A/C Post Evaporator Датчик Цепь Короткое замыкание на массу","Climate Управление A/C Post Evaporator Датчик Цепь Короткое замыкание на массу",
"B1948","B","base-only","Climate Управление Water Температура Датчик Цепь Failure","Climate Управление Water Температура Датчик Цепь Failure",
"B1949","B","base-only","Climate Управление Water Температура Датчик Цепь Короткое замыкание на массу","Climate Управление Water Температура Датчик Цепь Короткое замыкание на массу",
"B1950","B","base-only","Сиденье Rear Up/Down Potentiometer Feedback Цепь Failure","Сиденье Rear Up/Down Potentiometer Feedback Цепь Failure",
"B1951","B","base-only","Сиденье Rear Up/Down Potentiometer Feedback Цепь Обрыв","Сиденье Rear Up/Down Potentiometer Feedback Цепь Обрыв",
"B1952","B","base-only","Сиденье Rear Up/Down Potentiometer Feedback Цепь Короткое замыкание на батарею","Сиденье Rear Up/Down Potentiometer Feedback Цепь Короткое замыкание на батарею",
"B1953","B","base-only","Сиденье Rear Up/Down Potentiometer Feedback Цепь Короткое замыкание на массу","Сиденье Rear Up/Down Potentiometer Feedback Цепь Короткое замыкание на массу",
"B1954","B","base-only","Сиденье Front Up/Down Potentiometer Feedback Цепь Failure","Сиденье Front Up/Down Potentiometer Feedback Цепь Failure",
"B1955","B","base-only","Сиденье Front Up/Down Potentiometer Feedback Цепь Обрыв","Сиденье Front Up/Down Potentiometer Feedback Цепь Обрыв",
"B1956","B","base-only","Сиденье Front Up/Down Potentiometer Feedback Цепь Короткое замыкание на батарею","Сиденье Front Up/Down Potentiometer Feedback Цепь Короткое замыкание на батарею",
"B1957","B","base-only","Сиденье Front Up/Down Potentiometer Feedback Цепь Короткое замыкание на массу","Сиденье Front Up/Down Potentiometer Feedback Цепь Короткое замыкание на массу",
"B1958","B","base-only","Сиденье Recline Forward/Backward Potentiometer Feedback Цепь Failure","Сиденье Recline Forward/Backward Potentiometer Feedback Цепь Failure",
"B1959","B","base-only","Сиденье Recline Forward/Backward Potentiometer Feedback Цепь Обрыв","Сиденье Recline Forward/Backward Potentiometer Feedback Цепь Обрыв",
"B1960","B","base-only","Сиденье Recline Forward/Backward Potentiometer Feedback Цепь Короткое замыкание на батарею","Сиденье Recline Forward/Backward Potentiometer Feedback Цепь Короткое замыкание на батарею",
"B1961","B","base-only","Сиденье Recline Forward/Backward Potentiometer Feedback Цепь Короткое замыкание на массу","Сиденье Recline Forward/Backward Potentiometer Feedback Цепь Короткое замыкание на массу",
"B1962","B","base-only","Сиденье Horizontal Forward/Rearward Potentiometer Feedback Цепь Failure","Сиденье Horizontal Forward/Rearward Potentiometer Feedback Цепь Failure",
"B1963","B","base-only","Сиденье Horizontal Forward/Rearward Potentiometer Feedback Цепь Обрыв","Сиденье Horizontal Forward/Rearward Potentiometer Feedback Цепь Обрыв",
"B1964","B","base-only","Сиденье Horizontal Forward/Rearward Potentiometer Feedback Цепь Короткое замыкание на батарею","Сиденье Horizontal Forward/Rearward Potentiometer Feedback Цепь Короткое замыкание на батарею",
"B1965","B","base-only","Сиденье Horizontal Forward/Rearward Potentiometer Feedback Цепь Короткое замыкание на массу","Сиденье Horizontal Forward/Rearward Potentiometer Feedback Цепь Короткое замыкание на массу",
"B1966","B","base-only","A/C Post Нагреватель Датчик Цепь Failure","A/C Post Нагреватель Датчик Цепь Failure",
"B1967","B","base-only","A/C Post Нагреватель Датчик Цепь Короткое замыкание на массу","A/C Post Нагреватель Датчик Цепь Короткое замыкание на массу",
"B1968","B","base-only","A/C Water Насос Detection Цепь Failure","A/C Water Насос Detection Цепь Failure",
"B1969","B","base-only","A/C Clutch Magnetic Управление Цепь Failure","A/C Clutch Magnetic Управление Цепь Failure",
"B1970","B","base-only","Пассажир Seatback Forward Switch Цепь Короткое замыкание на массу","Пассажир Seatback Forward Switch Цепь Короткое замыкание на массу",
"B1971","B","base-only","Пассажир Seatback Rearward Switch Цепь Короткое замыкание на массу","Пассажир Seatback Rearward Switch Цепь Короткое замыкание на массу",
"B1972","B","base-only","Пассажир Rear Сиденье Up Switch Цепь Короткое замыкание на батарею","Пассажир Rear Сиденье Up Switch Цепь Короткое замыкание на батарею",
"B1973","B","base-only","Пассажир Rear Сиденье Down Switch Цепь Короткое замыкание на батарею","Пассажир Rear Сиденье Down Switch Цепь Короткое замыкание на батарею",
"B1974","B","base-only","Пассажир's Сиденье Recline Forward Switch Цепь Короткое замыкание на батарею","Пассажир's Сиденье Recline Forward Switch Цепь Короткое замыкание на батарею",
"B1975","B","base-only","Пассажир's Сиденье Recline Back Switch Цепь Короткое замыкание на батарею","Пассажир's Сиденье Recline Back Switch Цепь Короткое замыкание на батарею",
"B1976","B","base-only","Пассажир's Сиденье Forward Switch Цепь Короткое замыкание на батарею","Пассажир's Сиденье Forward Switch Цепь Короткое замыкание на батарею",
"B1977","B","base-only","Пассажир's Front Сиденье Up Switch Цепь Короткое замыкание на батарею","Пассажир's Front Сиденье Up Switch Цепь Короткое замыкание на батарею",
"B1978","B","base-only","Пассажир's Front Сиденье Down Switch Цепь Короткое замыкание на батарею","Пассажир's Front Сиденье Down Switch Цепь Короткое замыкание на батарею",
"B1979","B","base-only","Пассажир Сиденье Rearward Switch Цепь Короткое замыкание на батарею","Пассажир Сиденье Rearward Switch Цепь Короткое замыкание на батарею",
"B1980","B","base-only","Bulb - Outage Condition Обнаружен","Bulb - Outage Condition Обнаружен",
"B1981","B","base-only","Memory Off Switch Цепь Короткое замыкание на батарею","Memory Off Switch Цепь Короткое замыкание на батарею",
"B1982","B","base-only","Водитель's Door Unlock Relay Цепь Failure","Водитель's Door Unlock Relay Цепь Failure",
"B1983","B","base-only","Водитель's Door Unlock Relay Цепь Короткое замыкание на батарею","Водитель's Door Unlock Relay Цепь Короткое замыкание на батарею",
"B1984","B","base-only","Сиденье Switch Lumbar Inflate Цепь Failure","Сиденье Switch Lumbar Inflate Цепь Failure",
"B1985","B","base-only","Сиденье Switch Lumbar Deflate Цепь Failure","Сиденье Switch Lumbar Deflate Цепь Failure",
"B1986","B","base-only","Водитель's Сиденье Seatback Autoglide Rearward Switch Цепь Failure","Водитель's Сиденье Seatback Autoglide Rearward Switch Цепь Failure",
"B1987","B","base-only","Педаль Forward / Rearward Motor Stalled","Педаль Forward / Rearward Motor Stalled",
"B1988","B","base-only","Педаль Положение Forward Switch Цепь Короткое замыкание на батарею","Педаль Положение Forward Switch Цепь Короткое замыкание на батарею",
"B1989","B","base-only","Педаль Положение Rearward Switch Цепь Короткое замыкание на батарею","Педаль Положение Rearward Switch Цепь Короткое замыкание на батарею",
"B1990","B","base-only","Педаль Forward / Rearward Potentiometer Feedback Цепь Failure","Педаль Forward / Rearward Potentiometer Feedback Цепь Failure",
"B1991","B","base-only","Педаль Forward / Rearward Potentiometer Feedback Цепь Короткое замыкание на батарею","Педаль Forward / Rearward Potentiometer Feedback Цепь Короткое замыкание на батарею",
"B1992","B","base-only","Водитель Side, Side mount Airbag Цепь Короткое замыкание to Vbatt","Водитель Side, Side mount Airbag Цепь Короткое замыкание to Vbatt",
"B1993","B","base-only","Водитель Sid, Side mount Airbag Цепь Короткое замыкание на массу","Водитель Sid, Side mount Airbag Цепь Короткое замыкание на массу",
"B1994","B","base-only","Водитель Sid, Side mount Airbag Цепь Обрыв","Водитель Sid, Side mount Airbag Цепь Обрыв",
"B1995","B","base-only","Водитель Sid, Side mount Airbag Низкий Сопротивление on Squib","Водитель Sid, Side mount Airbag Низкий Сопротивление on Squib",
"B1996","B","base-only","Пассажир Sid, Side mount Airbag Цепь Короткое замыкание to Vbatt","Пассажир Sid, Side mount Airbag Цепь Короткое замыкание to Vbatt",
"B1997","B","base-only","Пассажир Sid, Side mount Airbag Цепь Короткое замыкание на массу","Пассажир Sid, Side mount Airbag Цепь Короткое замыкание на массу",
"B1998","B","base-only","Пассажир Sid, Side mount Airbag Цепь Обрыв","Пассажир Sid, Side mount Airbag Цепь Обрыв",
"B1999","B","base-only","Пассажир Sid, Side mount Airbag Низкий Сопротивление on Squib","Пассажир Sid, Side mount Airbag Низкий Сопротивление on Squib",
"B2100","B","base-only","Door Водитель Key Цилиндр Switch Failure","Door Водитель Key Цилиндр Switch Failure",
"B2101","B","base-only","Head Rest Switch Цепь Failure","Head Rest Switch Цепь Failure",
"B2102","B","base-only","Antenna Цепь Короткое замыкание на массу","Antenna Цепь Короткое замыкание на массу",
"B2103","B","base-only","Antenna Not Connected","Antenna Not Connected",
"B2104","B","base-only","Door Пассажир Key Цилиндр Switch Failure","Door Пассажир Key Цилиндр Switch Failure",
"B2105","B","base-only","Положение дроссельной заслонки Вход Out of Range Низкий","Положение дроссельной заслонки Вход Out of Range Низкий",
"B2106","B","base-only","Положение дроссельной заслонки Вход Out of Range Высокий","Положение дроссельной заслонки Вход Out of Range Высокий",
"B2107","B","base-only","Front Wiper Motor Relay Цепь Короткое замыкание to Vbatt","Front Wiper Motor Relay Цепь Короткое замыкание to Vbatt",
"B2108","B","base-only","Trunk Key Цилиндр Switch Failure","Trunk Key Цилиндр Switch Failure",
"B2109","B","base-only","Heated Wind Shield Relay Короткое замыкание to Vbatt (changed from Failure 2/6/97)","Heated Wind Shield Relay Короткое замыкание to Vbatt (changed from Failure 2/6/97)",
"B2110","B","base-only","Front Wiper Motor Relay Цепь Обрыв (changed from Failure 2/6/97)","Front Wiper Motor Relay Цепь Обрыв (changed from Failure 2/6/97)",
"B2111","B","base-only","All Door Lock Вход Короткое замыкание на массу","All Door Lock Вход Короткое замыкание на массу",
"B2112","B","base-only","Door Водитель Set Switch Заклинило Failure","Door Водитель Set Switch Заклинило Failure",
"B2113","B","base-only","Heated Windshield Вход Короткое замыкание на массу","Heated Windshield Вход Короткое замыкание на массу",
"B2114","B","base-only","Front Washer Вход Короткое замыкание на массу","Front Washer Вход Короткое замыкание на массу",
"B2115","B","base-only","Rear Washer Вход Короткое замыкание на массу","Rear Washer Вход Короткое замыкание на массу",
"B2116","B","base-only","Door Водитель Reset Switch Заклинило Failure","Door Водитель Reset Switch Заклинило Failure",
"B2117","B","base-only","Водитель Side, Side mount Airbag Низкий capacitance on Squib","Водитель Side, Side mount Airbag Низкий capacitance on Squib",
"B2118","B","base-only","Пассажир Sid, Side mount Airbag Низкий capacitance on Squib","Пассажир Sid, Side mount Airbag Низкий capacitance on Squib",
"B2119","B","base-only","Compressor Failure","Compressor Failure",
"B2120","B","base-only","Door Пассажир Set Switch Заклинило Failure","Door Пассажир Set Switch Заклинило Failure",
"B2122","B","base-only","Водитель Side Satellite Связь Цепь Короткое замыкание на массу","Водитель Side Satellite Связь Цепь Короткое замыкание на массу",
"B2123","B","base-only","Пассажир Side Satellite Связь Цепь Короткое замыкание на массу","Пассажир Side Satellite Связь Цепь Короткое замыкание на массу",
"B2124","B","base-only","Door Пассажир Reset Switch Заклинило Failure","Door Пассажир Reset Switch Заклинило Failure",
"B2128","B","base-only","Central Lock Motor Failure","Central Lock Motor Failure",
"B2129","B","base-only","Central Lock Feedback Failure","Central Lock Feedback Failure",
"B2130","B","base-only","Double Lock Timeout Failure","Double Lock Timeout Failure",
"B2131","B","base-only","Double Lock Feedback Failure","Double Lock Feedback Failure",
"B2132","B","base-only","Dimmer switch Цепь Короткое замыкание to Gnd","Dimmer switch Цепь Короткое замыкание to Gnd",
"B2133","B","base-only","Brake Motor Warning Лампа Цепь Failure","Brake Motor Warning Лампа Цепь Failure",
"B2134","B","base-only","Brake Motor Warning Лампа Цепь Короткое замыкание to Vbatt","Brake Motor Warning Лампа Цепь Короткое замыкание to Vbatt",
"B2135","B","base-only","Park Brake Applied Warning Лампа Цепь Failure","Park Brake Applied Warning Лампа Цепь Failure",
"B2136","B","base-only","Park Brake Applied Warning Лампа Цепь Короткое замыкание на батарею","Park Brake Applied Warning Лампа Цепь Короткое замыкание на батарею",
"B2139","B","base-only","Data Mismatch (receive data does not match what was expected)","Data Mismatch (receive data does not match what was expected)",
"B2141","B","base-only","NVM Configuration Failure","NVM Configuration Failure",
"B2142","B","base-only","NVM TIC Failure","NVM TIC Failure",
"B2143","B","base-only","NVM Memory Failure","NVM Memory Failure",
"B2144","B","base-only","NVM Alarm Data Failure","NVM Alarm Data Failure",
"B2145","B","base-only","NVM RF HR Failure","NVM RF HR Failure",
"B2146","B","base-only","Сиденье Recline Motor Положение Out of Range","Сиденье Recline Motor Положение Out of Range",
"B2148","B","base-only","PWM Вход Цепь Failure","PWM Вход Цепь Failure",
"B2149","B","base-only","Сиденье Front Vertical Motor Положение Out of Range","Сиденье Front Vertical Motor Положение Out of Range",
"B2150","B","base-only","Power Supply #1 Цепь Короткое замыкание на массу","Power Supply #1 Цепь Короткое замыкание на массу",
"B2151","B","base-only","Power Supply #2 Цепь Короткое замыкание на массу","Power Supply #2 Цепь Короткое замыкание на массу",
"B2152","B","base-only","Сиденье Rear Vertical Motor Положение Out of Range","Сиденье Rear Vertical Motor Положение Out of Range",
"B2153","B","base-only","Rear Echo Датчик Цепь Failure","Rear Echo Датчик Цепь Failure",
"B2154","B","base-only","Front Echo Датчик Цепь Failure","Front Echo Датчик Цепь Failure",
